shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,10000,1,30,moc1,0,0.6938,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0013478631153702736
radial_segment_3d,0.03,10000,1,30,moc1,1,0.6938,0.0,0.0,0.0,0.10646636185499658,0.07539077263074767,1,2,30,30.0,494.95234282594174
radial_segment_3d,0.03,10000,1,30,moc1,2,0.6938,0.0,0.0,0.0,0.2593076420640106,0.10677661321604748,3,4,30,30.0,758.2901633195579
radial_segment_3d,0.03,10000,1,30,moc1,3,0.6938,0.0,0.0,0.0,0.4559111691704767,0.17956324908913568,7,8,30,30.0,940.4495693668723
radial_segment_3d,0.03,10000,1,30,moc1,4,0.6954,0.035924232527759635,0.5392156862745098,0.06736068585425597,0.6504327237099936,0.3132632279248757,15,16,30,30.0,1032.303529017605
radial_segment_3d,0.03,10000,1,30,moc1,5,0.7008,0.19562377531025474,0.5310283687943262,0.2859188544152744,0.5784005551926847,0.3370896195264492,31,32,30,30.0,1095.0292533766478
radial_segment_3d,0.03,10000,1,30,moc1,6,0.7218,0.25473546701502287,0.609375,0.35928143712574856,0.6916099534354523,0.42280520812204125,61,62,30,30.0,1204.8832772066817
radial_segment_3d,0.03,10000,1,30,moc1,7,0.7303,0.2726975832789027,0.6398467432950191,0.3824135562170827,0.7358290972084174,0.43559408665296395,91,92,30,30.0,1250.5065546240658
radial_segment_3d,0.03,10000,1,30,moc1,8,0.767,0.4203135205747877,0.6986970684039088,0.5248776508972267,0.7629817112998043,0.4908112121892114,167,168,30,30.0,1285.117273571901
radial_segment_3d,0.03,10000,1,30,moc1,9,0.7905,0.46178967994774656,0.7598065556152606,0.5744464757261831,0.7830844038028886,0.4710392405990491,224,225,30,30.0,1333.0439266543835
radial_segment_3d,0.03,10000,1,30,moc1,10,0.8358,0.6273677335075114,0.7931461601981833,0.700583515681984,0.7488305748059143,0.4950401774447215,358,359,30,30.0,1418.1788090299815
radial_segment_3d,0.03,10000,1,30,moc1,11,0.8406,0.6423905943827564,0.7976480129764801,0.7116497829232995,0.7602303046381631,0.4894086042771708,388,389,30,30.0,1464.783489022404
radial_segment_3d,0.03,10000,1,30,moc1,12,0.8636,0.6874591770084911,0.8379777070063694,0.755292429135271,0.7712653356731956,0.4875714545860097,497,498,30,30.0,1578.7361699044704
