shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,0,0.5733,0.0,,,0.0,0.0,0,1,0,0.0,,,,8.019153028726578e-06
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,1,0.5852,0.9692992734942583,0.5072979271433828,0.6660225442834139,0.46929927349425826,0.37733844326011634,1,2,2,0.0,,,,107.5245411018841
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,2,0.6736,0.9486758846965081,0.5707035105033131,0.7126760563380282,0.7055894070775721,0.4991872658930159,3,4,2,2.0,,,,182.21630250802264
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,3,0.7314,0.9364893367705648,0.6233036967711746,0.7484547668102641,0.825609327396297,0.5214933756320903,7,8,2,2.0,,,,239.76860085083172
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,4,0.7858,0.9303960628075931,0.6827171109200344,0.7875421543344574,0.895550152331849,0.6149220804281197,15,16,2,2.0,,,,289.54217113228515
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,5,0.7881,0.9453948910241388,0.6814189189189189,0.7919897909099833,0.9118289649750144,0.6608149563287493,30,31,2,2.0,,,,326.67675176495686
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,6,0.8151,0.6758846965080854,0.8608955223880597,0.7572535118813182,0.9202981674951383,0.6367570910223006,56,57,2,2.0,,,,348.27698459196836
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,7,0.8741,0.8450902273259902,0.8577545195052331,0.8513752803683153,0.9358726086366609,0.5876682009874354,94,95,2,2.0,,,,359.1952311731875
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,8,0.9045,0.8992266229200844,0.8796423658872077,0.8893266890717348,0.937102400288021,0.5659660180254753,137,138,2,2.0,,,,369.8374142940156
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,9,0.9295,0.9039137567377549,0.9289499036608864,0.9162608385794038,0.9340386713739601,0.5449052258672458,185,186,2,2.0,,,,377.2711140899919
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,10,0.9364,0.924068432153738,0.9266745005875441,0.9253696315418916,0.9301626949635067,0.5456495935843193,236,237,2,2.0,,,,382.9612362473272
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,11,0.9442,0.9172720881181158,0.9502306385044914,0.9334605294538516,0.9212976525271461,0.5369743893267322,287,288,2,2.0,,,,388.7058053370565
radial_segment_2d,0.003,10000,1,radial_segment_2d_fuzziness_003,2,hhcart_a,12,0.9525,0.9318022029528943,0.9557692307692308,0.9436335587990982,0.9125898078413808,0.5304038854631776,337,338,2,2.0,,,,393.46374262310565
