shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,0,0.5683,0.0,,,0.0,0.0,0,1,0,0.0,,,,1.0898802429437637e-05
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,1,0.5819,0.902246930738939,0.5088842435327933,0.6507392866093058,0.4022469307389389,0.23883592188593816,1,2,1,0.0,,,,27.791503141634166
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,2,0.7014,0.8285846652768126,0.614288167611197,0.7055226824457594,0.6177322214500811,0.405594635699253,3,4,2,1.0,,,,45.11099971178919
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,3,0.7578,0.7748436414176512,0.6976016684045881,0.7341966637401229,0.7385047486680565,0.4644236452193149,7,8,2,1.0,,,,55.97497699921951
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,4,0.8215,0.7405605744730137,0.8278094251683066,0.7817581611443942,0.8050584896919157,0.49628192864917864,15,16,2,1.0,,,,63.624381547328085
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,5,0.8241,0.7315265230484133,0.8403406067056945,0.7821671826625387,0.8421469509142403,0.5322400874245417,30,31,2,1.0,,,,69.01983643509448
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,6,0.8467,0.8007875839703498,0.837046004842615,0.8185154492719309,0.8577995574832458,0.5034874323222962,57,58,2,1.0,,,,71.71724664513022
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,7,0.8628,0.7861941162844568,0.8831641946396045,0.8318627450980393,0.8674321894613766,0.5179609646290455,104,105,2,1.0,,,,74.73255402501673
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,8,0.8694,0.8003242992819087,0.8861246473454732,0.8410418695228822,0.8674966306568113,0.5063868468513528,175,176,2,1.0,,,,77.1134400148876
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,9,0.8817,0.8077368542969655,0.9080729166666667,0.8549711903886233,0.8658182557498133,0.5005680983706584,277,278,2,1.0,,,,78.7026325748302
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,10,0.8934,0.8413249942089414,0.9050585596810367,0.8720288115246098,0.8556775769633136,0.4982379173404827,400,401,2,1.0,,,,79.96257201302797
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,11,0.9042,0.846421125781793,0.9252975436819448,0.8841035567384468,0.8440452734984676,0.5008952344454427,533,534,2,1.0,,,,81.49005157779902
star_2d,0.007,10000,8,star_2d_fuzziness_007,2,cart,12,0.9123,0.8612462358119064,0.9304304304304304,0.894502586310598,0.8332752498798568,0.49520549132035163,669,670,2,1.0,,,,82.28093736991286
