seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,radial_segment_3d_fuzziness_003,3,cart,0,0.6969,0.0,,,0.0,0.0,0,1,8.449889719486237e-06
11,radial_segment_3d_fuzziness_003,3,cart,1,0.6969,0.0,,,0.3898053447707026,0.25855776465410396,1,2,40.99651581700891
11,radial_segment_3d_fuzziness_003,3,cart,2,0.6969,0.0,,,0.5520455295282085,0.37255026293177407,3,4,64.82494458183646
11,radial_segment_3d_fuzziness_003,3,cart,3,0.7439,0.7815902342461234,0.5550609184629803,0.6491300178106589,0.7300808314087761,0.551986165178987,7,8,78.08264488121495
11,radial_segment_3d_fuzziness_003,3,cart,4,0.8242,0.7957769712966017,0.6792452830188679,0.7329079307201457,0.7961687561860773,0.60973830812981,15,16,86.75903625739738
11,radial_segment_3d_fuzziness_003,3,cart,5,0.8587,0.8030353018805675,0.7489230769230769,0.7750358223212864,0.8337927437979586,0.588352987445051,30,31,93.35063628200442
11,radial_segment_3d_fuzziness_003,3,cart,6,0.8787,0.8739689871329595,0.7612068965517241,0.8136998924896329,0.8478569928916351,0.5806875113260541,54,55,96.34709140704945
11,radial_segment_3d_fuzziness_003,3,cart,7,0.9123,0.8726492906631474,0.8434311224489796,0.8577914707313118,0.8599121138308401,0.5597307474961275,93,94,99.27113057300448
11,radial_segment_3d_fuzziness_003,3,cart,8,0.9374,0.8967337512372154,0.8967337512372154,0.8967337512372154,0.871887052184894,0.5483395422353283,144,145,99.12546578794718
11,radial_segment_3d_fuzziness_003,3,cart,9,0.9499,0.9142197294622237,0.9199867197875166,0.9170941585305311,0.8715543251139193,0.5353681666102263,206,207,100.24821078404784
11,radial_segment_3d_fuzziness_003,3,cart,10,0.9601,0.9274166941603431,0.940133779264214,0.9337319382162431,0.8727563928953055,0.5343684899456151,267,268,100.66197465592995
11,radial_segment_3d_fuzziness_003,3,cart,11,0.9657,0.9333553282744969,0.9525252525252526,0.9428428595234127,0.8740890512613297,0.5290440362636983,326,327,101.50450365804136
11,radial_segment_3d_fuzziness_003,3,cart,12,0.9704,0.9435829759155394,0.9581239530988275,0.9507978723404256,0.8764946430741984,0.5331765849555363,379,380,101.05701678199694
