shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,0,0.5943,0.0,,,0.0,0.0,0,1,0,0.0,,,0.0,6.800983101129532e-06
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,1,0.5943,0.0,,,0.46376632980034493,0.3283843459722857,1,2,2,0.0,,,0.0,56.210604685824364
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,2,0.6553,0.9169336948484101,0.5446559297218155,0.6833838523009094,0.6850505299482377,0.4384931862443946,3,4,2,2.0,,,0.0,98.09490633616224
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,3,0.7697,0.8693615972393394,0.6654716981132075,0.7538741049481671,0.8050591570125707,0.5196201317700944,7,8,2,2.0,,,0.0,126.96262513799593
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,4,0.8802,0.8074932215923096,0.8870836718115354,0.8454193548387097,0.8592402021197931,0.5155569842778129,15,16,2,2.0,,,0.0,144.96967484708875
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,5,0.8811,0.8109440473256101,0.8863146551724138,0.8469558501737675,0.8932462410648263,0.5520515564081281,29,30,2,2.0,,,0.0,156.16506829299033
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,6,0.8842,0.7594281488784816,0.9442231075697212,0.8418032786885246,0.9109860415012003,0.5461632645956713,53,54,2,2.0,,,0.0,165.3408754603006
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,7,0.8892,0.8055213211732808,0.9110677446333983,0.8550497121925693,0.9131938837088729,0.5185538808969563,86,87,2,2.0,,,0.0,172.74528782302514
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,8,0.8936,0.8129159477446389,0.9153483208437413,0.8610966057441253,0.9220170266016949,0.5419375865059011,129,130,2,2.0,,,0.0,178.97328576026484
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,9,0.8989,0.8274587133349766,0.9152126499454744,0.8691262135922331,0.9198757280939134,0.5381355890833082,186,187,2,2.0,,,0.0,186.7635289770551
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,10,0.904,0.8242543751540548,0.9312169312169312,0.8744769874476988,0.9148858762632488,0.5271776216615129,249,250,2,2.0,,,0.0,192.9665913209319
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,11,0.9096,0.8410155287157999,0.9294470171615363,0.8830227743271221,0.9099260694341302,0.5275598024990011,313,314,2,2.0,,,0.0,196.44549319986254
rectangle_2d,0.007,10000,11,rectangle_2d_fuzziness_007,2,hhcart_d,12,0.9149,0.8397830909539068,0.9442904656319291,0.8889758643183301,0.900445484309325,0.5152079344434746,381,382,2,2.0,,,0.0,201.29095156211406
