shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,0,0.5683,0.0,,,0.0,0.0,0,1,0,0.0,,,0.0,6.172806024551392e-06
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,1,0.5683,0.0,,,0.4775306926106091,0.3352931094499254,1,2,2,0.0,,,0.0,53.636631617322564
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,2,0.6018,0.9506601806810285,0.5212752445065414,0.6733388022969647,0.7100416956219597,0.4296502262906492,3,4,2,2.0,,,0.0,97.49927334301174
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,3,0.7239,0.8612462358119064,0.632312925170068,0.7292340884573895,0.8090398424832059,0.43890318851824817,7,8,2,2.0,,,0.0,131.54454386699945
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,4,0.7729,0.8186240444753301,0.7037037037037037,0.7568262126566014,0.8646774380356732,0.4261871351293658,15,16,2,2.0,,,0.0,153.49736977554858
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,5,0.8197,0.7760018531387538,0.8002866698518872,0.7879571915794427,0.8988619635798458,0.5001275568683461,30,31,2,2.0,,,0.0,170.445191655308
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,6,0.8425,0.7873523280055594,0.8380177514792899,0.8118953780007165,0.9072546170530884,0.5012282276645945,54,55,2,2.0,,,0.0,180.05458242772147
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,7,0.8507,0.8072735696085245,0.8405692233478052,0.8235850171334043,0.9137610659576394,0.5347424019063498,91,92,2,2.0,,,0.0,190.36492063384503
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,8,0.864,0.7868890433171184,0.8853270784467031,0.8332106941378464,0.9074655977547477,0.5183249515931303,137,138,2,2.0,,,0.0,198.67231084639207
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,9,0.8723,0.8075052119527449,0.8865717192268565,0.8451933567705177,0.900906879777623,0.5214896058290055,199,200,2,2.0,,,0.0,203.4191019111313
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,10,0.8833,0.8244151030808432,0.8969254032258065,0.8591430295715149,0.8931222738217655,0.5166925011904058,270,271,2,2.0,,,0.0,208.24130573496222
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,11,0.8908,0.8501274032893212,0.8918590522478737,0.8704933586337761,0.8812879580594228,0.5069140068333515,347,348,2,2.0,,,0.0,213.95174392592162
star_2d,0.007,10000,11,star_2d_fuzziness_007,2,hhcart_d,12,0.9018,0.8573083159601576,0.9100073764445538,0.8828721374045801,0.8715916987807191,0.49979903258634795,439,440,2,2.0,,,0.0,218.9091039285995
