seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,sine_wave_2d_fuzziness_000,2,cart,0,0.8426,0.0,,,0.0,0.0,0,1,8.70879739522934e-06
11,sine_wave_2d_fuzziness_000,2,cart,1,0.8426,0.0,,,0.4809402795425666,0.47617134718621057,1,2,7.831845201086253
11,sine_wave_2d_fuzziness_000,2,cart,2,0.8426,0.0,,,0.7150571791613725,0.6311867926875625,3,4,11.458199965767562
11,sine_wave_2d_fuzziness_000,2,cart,3,0.8742,0.772554002541296,0.5746691871455577,0.6590785907859079,0.7959021601016516,0.5694199211510154,7,8,13.89078226685524
11,sine_wave_2d_fuzziness_000,2,cart,4,0.9034,0.7560355781448539,0.6715575620767494,0.7112970711297072,0.857433290978399,0.6093983289000342,14,15,14.740061581134796
11,sine_wave_2d_fuzziness_000,2,cart,5,0.945,0.829733163913596,0.8224181360201511,0.8260594560404807,0.8787359814374895,0.6390887464076516,22,23,15.277484619989991
11,sine_wave_2d_fuzziness_000,2,cart,6,0.9564,0.8678526048284625,0.8569636135508155,0.8623737373737373,0.8859112086558085,0.6108765250671035,32,33,15.511461297050118
11,sine_wave_2d_fuzziness_000,2,cart,7,0.9716,0.9313850063532402,0.8928136419001218,0.9116915422885572,0.86449446360501,0.5839986134991006,41,42,15.586199922021478
11,sine_wave_2d_fuzziness_000,2,cart,8,0.9852,0.9911054637865311,0.9208972845336482,0.9547123623011016,0.8592376111817026,0.5517846838258964,49,50,15.713351294863969
11,sine_wave_2d_fuzziness_000,2,cart,9,0.9902,0.9847522236340533,0.9544334975369458,0.9693558474046279,0.8513772532466135,0.5324391734138265,58,59,15.88640285236761
11,sine_wave_2d_fuzziness_000,2,cart,10,0.9938,0.9822109275730623,0.9784810126582278,0.9803424223208624,0.8454305541980258,0.5280426434406031,64,65,16.04244994511828
11,sine_wave_2d_fuzziness_000,2,cart,11,0.996,0.9834815756035579,0.9910371318822023,0.9872448979591837,0.8533853693955344,0.532655210017674,69,70,15.956202467903495
11,sine_wave_2d_fuzziness_000,2,cart,12,0.9968,0.9834815756035579,0.9961389961389961,0.989769820971867,0.8554503641927804,0.538224628315251,70,71,16.111369703896344
