shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,0,0.7219,0.0,,,0.0,0.0,0,1,0,0.0,,,,8.43079760670662e-06
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,1,0.7219,0.0,,,0.4539733908665946,0.4301869793218387,1,2,1,0.0,,,,29.860971048939973
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,2,0.8088,0.8950017979144193,0.605743489900219,0.7224963715529753,0.6703523912261775,0.5600115953911127,3,4,1,1.0,,,,44.694772264920175
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,3,0.8372,0.753685724559511,0.6897005593945377,0.7202749140893471,0.7497752606975909,0.5360962914433285,7,8,2,1.0,,,,53.3032158636488
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,4,0.8609,0.7871269327580007,0.7325970548862115,0.7588836886808806,0.8222087378640777,0.5284967178726163,15,16,2,1.0,,,,58.99694009171799
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,5,0.8822,0.8094210715569938,0.7764746464298034,0.7926056338028169,0.8623584142394822,0.5413140188733729,31,32,2,1.0,,,,65.99429613910615
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,6,0.8968,0.8698309960445882,0.7831013272903853,0.8241908006814309,0.8767312675916628,0.5417545870393066,57,58,2,1.0,,,,66.65601606993005
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,7,0.9085,0.8594030924128011,0.820178448867536,0.8393327480245829,0.885352990530984,0.5444984902188725,101,102,2,1.0,,,,69.61907507106662
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,8,0.9161,0.8640776699029126,0.839036312849162,0.8513728963684677,0.8840841556310017,0.5422576047213012,162,163,2,1.0,,,,70.15196869987994
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,9,0.9317,0.8378281193815175,0.9094457455113193,0.8721691933370767,0.8783362320116828,0.5314858758491241,244,245,2,1.0,,,,72.13102519605309
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,10,0.9368,0.8435814455231931,0.9225324419976406,0.8812922614575507,0.8638211450418454,0.5244909421296233,320,321,2,1.0,,,,71.80368243111297
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,11,0.9429,0.8644372527867673,0.9253271747498075,0.8938464398587097,0.8497006315566713,0.51636855842573,400,401,2,1.0,,,,72.44220380391926
sine_wave_2d,0.005,10000,8,sine_wave_2d_fuzziness_005,2,cart,12,0.9485,0.8813376483279396,0.9298179059180577,0.9049289274506184,0.8454203062335888,0.5170810882236416,482,483,2,1.0,,,,74.0931583638303
