shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,0,0.6757,0.0,,,0.0,0.0,0,1,0,0.0,,,,8.381903171539307e-06
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,1,0.6757,0.0,,,0.4451125501079247,0.40895243667017067,1,2,2,0.0,,,,109.95806436194107
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,2,0.8005,0.8535306814677768,0.6455223880597015,0.7350949409109017,0.6369873573851372,0.4769110068653364,3,4,2,2.0,,,,170.64629090297967
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,3,0.8252,0.6867098365710762,0.7526191280838122,0.7181554337310545,0.7103376503237744,0.4767515542580809,7,8,2,2.0,,,,205.12830584635958
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,4,0.8469,0.7394387912426765,0.7775616083009079,0.7580211790738107,0.7919942954054888,0.48331904450164065,15,16,2,2.0,,,,227.1757036508061
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,5,0.8631,0.7724329324699353,0.7987882653061225,0.7853895594920833,0.8314215232809128,0.5060903259798677,29,30,2,2.0,,,,243.613110342063
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,6,0.8755,0.8421214924452667,0.7883949191685913,0.8143730430893097,0.8527322584908157,0.4796992159649127,55,56,2,2.0,,,,256.45151111483574
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,7,0.8877,0.8285538082022819,0.8257529194837123,0.827150992765892,0.8523408615915553,0.48317145144374174,98,99,2,2.0,,,,266.67122367443517
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,8,0.8969,0.8217699660807893,0.8547145606157793,0.8379185662631661,0.8595870239170138,0.5008278000168223,166,167,2,2.0,,,,273.0182927409187
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,9,0.9098,0.8223866790009251,0.8910791847644504,0.8553559974342527,0.8543643408301735,0.5155653749203575,252,253,2,2.0,,,,279.5036580762826
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,10,0.9197,0.8390379278445883,0.9063957361758828,0.8714171337069655,0.8459317735347005,0.5134048659912904,355,356,2,2.0,,,,282.748092002701
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,11,0.9272,0.8578476719087265,0.9124303050180387,0.8842975206611571,0.8339802115593451,0.5054882878261784,459,460,2,2.0,,,,286.3015087330714
sine_wave_2d,0.007,10000,1,sine_wave_2d_fuzziness_007,2,hhcart_a,12,0.9345,0.87018193031144,0.9234293193717278,0.8960152405143673,0.8269493563336197,0.5092312530790024,555,556,2,2.0,,,,285.67962383199483
