shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,0,0.6251,0.0,,,0.0,0.0,0,1,0,0.0,,,,9.445007890462875e-06
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,1,0.6251,0.0,,,0.4778607628700988,0.3629813278446592,1,2,2,0.0,,,,106.6358019807376
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,2,0.6251,0.0,,,0.673046145638837,0.3766158390756029,3,4,2,2.0,,,,190.059235684108
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,3,0.7323,0.8330221392371299,0.6035948975647468,0.6999887930068363,0.7947119231795148,0.5238808792161169,7,8,2,2.0,,,,245.08531452715397
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,4,0.8375,0.7554014403841024,0.8,0.7770613252846756,0.8523106161643106,0.5686180792393307,15,16,2,2.0,,,,279.0078223319724
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,5,0.8516,0.8244865297412644,0.7891243298442686,0.8064179493869033,0.8758636711725278,0.5621033405335727,30,31,2,2.0,,,,298.92783900909126
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,6,0.872,0.8642304614563884,0.8077786088257293,0.8350515463917527,0.8840369553092946,0.5528622543608901,54,55,2,2.0,,,,313.6835728199221
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,7,0.8935,0.8135502800746865,0.8928571428571429,0.8513607815771108,0.8920708525936587,0.5431895382830174,90,91,2,2.0,,,,323.97821380617097
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,8,0.9062,0.8436916511069619,0.8998577524893314,0.8708700440528635,0.8904440245098224,0.5498337159174116,141,142,2,2.0,,,,331.19027159176767
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,9,0.9144,0.86476393704988,0.9028125870231133,0.8833787465940055,0.8818301934779507,0.5242534459481747,214,215,2,2.0,,,,336.638546065893
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,10,0.9215,0.8631635102694052,0.9224629418472063,0.8918285793027423,0.876647149056361,0.5232134164346052,308,309,2,2.0,,,,343.32561841467395
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,11,0.9313,0.8783675646839157,0.934449489216799,0.905541042210917,0.8753229880909426,0.5236524078350053,424,425,2,2.0,,,,346.086591409985
star_2d,0.005,10000,1,star_2d_fuzziness_005,2,hhcart_a,12,0.9403,0.9050413443584956,0.9336818932305999,0.9191385615603415,0.8701349975620467,0.525776906935252,528,529,2,2.0,,,,351.3563824822195
