seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
11,radial_segment_2d_fuzziness_005,2,hhcart_d,0,0.5022,0.0,,,0.0,0.0,0,1,6.522051990032196e-06
11,radial_segment_2d_fuzziness_005,2,hhcart_d,1,0.623,0.9437525110486139,0.5737664875427455,0.7136563876651983,0.443752511048614,0.28782492039177376,1,2,14.23434792086482
11,radial_segment_2d_fuzziness_005,2,hhcart_d,2,0.6934,0.9184411410204901,0.6321902654867256,0.7488943488943488,0.6780835676978705,0.34765821500316463,3,4,24.51459980290383
11,radial_segment_2d_fuzziness_005,2,hhcart_d,3,0.7458,0.8963439132181599,0.687731196054254,0.7783010640153497,0.7973583768581758,0.4725044928318871,7,8,33.466866119299084
11,radial_segment_2d_fuzziness_005,2,hhcart_d,4,0.7838,0.8778625954198473,0.737677245104659,0.8016877637130801,0.8721122940940138,0.5957429340244738,15,16,39.69702734379098
11,radial_segment_2d_fuzziness_005,2,hhcart_d,5,0.7874,0.9104057854560065,0.7295556986477785,0.8100089365504916,0.8833903658857594,0.5992238924826951,28,29,44.88241698499769
11,radial_segment_2d_fuzziness_005,2,hhcart_d,6,0.7916,0.9168340699075934,0.7321142123837022,0.814127720299679,0.8877380474085979,0.5828462016005882,49,50,48.08283978514373
11,radial_segment_2d_fuzziness_005,2,hhcart_d,7,0.8334,0.769385295299317,0.8808647654093836,0.8213596397169205,0.908098070534743,0.5905509287022075,81,82,50.380466394126415
11,radial_segment_2d_fuzziness_005,2,hhcart_d,8,0.8756,0.8453194053836882,0.8987612131567706,0.8712215320910973,0.9098135243346588,0.5562945090760247,115,116,52.39722101483494
11,radial_segment_2d_fuzziness_005,2,hhcart_d,9,0.8922,0.8678184009642427,0.9113924050632911,0.8890718254784935,0.9089499972719473,0.5399587609940011,161,162,53.934467249084264
11,radial_segment_2d_fuzziness_005,2,hhcart_d,10,0.9064,0.8867014865407794,0.92227329711659,0.9041376485047112,0.9015033589654946,0.5307332412401529,214,215,54.21911745285615
11,radial_segment_2d_fuzziness_005,2,hhcart_d,11,0.9184,0.8995580554439534,0.934084272006675,0.9164961113385182,0.8977102303570828,0.5365583599916299,261,262,54.19643854815513
11,radial_segment_2d_fuzziness_005,2,hhcart_d,12,0.9302,0.9176376054640418,0.9406919275123559,0.9290217612365264,0.8852516289063184,0.524749867474295,298,299,54.80814737314358
