shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,0,0.6757,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.00029892195016145706
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,1,0.6757,0.0,,,0.4414122725871106,0.40470576426640914,1,2,1,0.0,,,,41.088224835693836
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,2,0.8024,0.8519888991674376,0.6487438365813571,0.7366035723806985,0.6368331791551034,0.4874691275985257,3,4,1,1.0,,,,62.48560224706307
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,3,0.8253,0.6897934011717546,0.7511752854264607,0.7191769811927342,0.7101063829787235,0.48375178219850956,7,8,2,1.0,,,,75.30035027116537
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,4,0.8464,0.7471477027443725,0.7719018795794839,0.7593230962080851,0.7861355226641997,0.48112101959662024,15,16,2,1.0,,,,83.4944965140894
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,5,0.8679,0.8254702436016035,0.780011655011655,0.8020973782771535,0.832423184427004,0.4722785998005772,30,31,2,1.0,,,,89.92428350867704
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,6,0.8796,0.8196114708603145,0.8111077204760452,0.8153374233128834,0.84967071935157,0.47791379309919213,55,56,2,1.0,,,,94.10322206979617
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,7,0.8843,0.8304039469626888,0.816060606060606,0.8231697997860308,0.8627530568193975,0.49955828570247185,97,98,2,1.0,,,,98.55183375719935
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,8,0.8989,0.8233117483811286,0.859073359073359,0.8408124704770903,0.8602149301984401,0.4846758522342478,160,161,2,1.0,,,,100.88091677380726
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,9,0.9022,0.8196114708603145,0.8711897738446411,0.8446139180171592,0.8516766882516185,0.48644425780806655,239,240,2,1.0,,,,104.49666045373306
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,10,0.9148,0.8427382053654024,0.8887804878048781,0.8651471984805318,0.8488842894671109,0.4978408610484848,336,337,2,1.0,,,,105.51529537793249
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,11,0.921,0.8482886216466234,0.9022630370613316,0.8744437380801017,0.8427096667314009,0.4998457617033434,442,443,2,1.0,,,,107.46297034062445
sine_wave_2d,0.007,10000,8,sine_wave_2d_fuzziness_007,2,ridge_cart,12,0.9296,0.8615479494295405,0.9163660216464414,0.8881118881118881,0.8362023023569034,0.4979337724393935,540,541,2,1.0,,,,108.52006662543863
