shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,0,0.5017,1.0,0.5017,0.6681760671239263,0.0,0.0,0,1,0,0.0,,,0.0,6.275717169046402e-06
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,1,0.656,0.9232609128961531,0.6025757772863276,0.7292191435768263,0.4232609128961531,0.28355681370810637,1,2,3,0.0,,,0.0,78.96759521495551
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,2,0.8095,0.815028901734104,0.8071456770627714,0.8110681344837845,0.612467610125573,0.43016578814147177,3,4,3,3.0,,,0.0,131.52802484901622
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,3,0.8179,0.8744269483755233,0.7864826102545716,0.8281264747522415,0.7021377317121786,0.3465687644115707,7,8,3,3.0,,,0.0,159.35917721921578
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,4,0.8403,0.8708391469005382,0.8215494546822114,0.8454765360425738,0.7497383894757823,0.42429699990076486,15,16,3,3.0,,,0.0,178.61827307613567
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,5,0.8691,0.8823998405421567,0.860279828993393,0.8711994489816,0.8028104444887383,0.45325955048692235,29,30,3,3.0,,,0.0,196.08018307341263
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,6,0.8882,0.8810045844129958,0.8945557579437361,0.8877284595300261,0.8580090849008111,0.5175947062981421,56,57,3,3.0,,,0.0,205.9133926620707
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,7,0.9066,0.9202710783336655,0.8963308095515434,0.9081431943351692,0.8703447494205974,0.49797863093052697,101,102,3,3.0,,,0.0,221.29194843489677
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,8,0.9204,0.9103049631253737,0.9295745980052921,0.9198388721047331,0.8798973733209527,0.5017006102010986,163,164,3,3.0,,,0.0,223.15473813796416
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,9,0.9337,0.9178792106836755,0.9483113673805601,0.932847158918262,0.8804363038011194,0.48935600926074363,234,235,3,3.0,,,0.0,233.91766187176108
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,10,0.9423,0.9336256727127765,0.950487012987013,0.9419808949220715,0.8811822697565117,0.4882373771885209,303,304,3,3.0,,,0.0,236.21775274630636
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,11,0.9533,0.940402631054415,0.9656160458452722,0.9528425729576896,0.8838123820743893,0.489210225056129,368,369,3,3.0,,,0.0,239.22857669414952
saddle_3d,0.005,10000,8,saddle_3d_fuzziness_005,3,hhcart_d,12,0.9605,0.9551524815626868,0.9657396211205159,0.9604168754384208,0.8854838250409436,0.4910898363900198,433,434,3,3.0,,,0.0,234.12200948502868
