shape,label_noise,n_samples,seed,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
radial_segment_3d,0.03,7500,11,3,moc1,0,0.6934666666666667,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0010575726628303528
radial_segment_3d,0.03,7500,11,3,moc1,1,0.6934666666666667,0.0,0.0,0.0,0.48695084819486745,0.45745912739691086,1,2,3,3.0,43.051209054887295
radial_segment_3d,0.03,7500,11,3,moc1,2,0.7626666666666667,0.9469334493257938,0.5676662320730117,0.7098141506358006,0.6225895316804406,0.5800302126785486,2,3,3,3.0,68.76671147346497
radial_segment_3d,0.03,7500,11,3,moc1,3,0.8257333333333333,0.900391474554154,0.6575603557814486,0.7600514044428126,0.6671378860374078,0.5776431549821306,3,4,3,3.0,82.36772220861167
radial_segment_3d,0.03,7500,11,3,moc1,4,0.8418666666666667,0.8921270117442366,0.6861826697892272,0.7757186081694402,0.7566333188342755,0.5696228185572849,5,6,3,3.0,92.4870794955641
radial_segment_3d,0.03,7500,11,3,moc1,5,0.8513333333333334,0.9247498912570683,0.6929595827900913,0.7922489286379728,0.7199265381083562,0.5584247330269934,8,9,3,3.0,101.11264574714005
radial_segment_3d,0.03,7500,11,3,moc1,6,0.8809333333333333,0.7198782079164854,0.8692226890756303,0.7875327147275755,0.7570061517429936,0.5912869740511904,13,14,3,3.0,108.77268204838037
radial_segment_3d,0.03,7500,11,3,moc1,7,0.9301333333333334,0.8812527185732927,0.8897672375933245,0.8854895104895103,0.8179099608525444,0.5865340617309238,23,24,3,3.0,116.04405738785863
radial_segment_3d,0.03,7500,11,3,moc1,8,0.9408,0.8886472379295346,0.9157328552218736,0.9019867549668874,0.8630833281550985,0.5451205205208229,34,35,3,3.0,121.93701582029462
radial_segment_3d,0.03,7500,11,3,moc1,9,0.9462666666666667,0.8886472379295346,0.9328767123287671,0.9102249944308308,0.8786167899086559,0.537861879424615,49,50,3,3.0,125.09936169348657
radial_segment_3d,0.03,7500,11,3,moc1,10,0.9524,0.8995215311004785,0.9425706472196901,0.9205430669931005,0.9097868638538493,0.5878908056672534,64,65,3,3.0,130.16351434774697
radial_segment_3d,0.03,7500,11,3,moc1,11,0.9561333333333333,0.9073510221835581,0.9473206176203451,0.926905132192846,0.9189893041567683,0.6056625245321616,77,78,3,3.0,131.3718913635239
radial_segment_3d,0.03,7500,11,3,moc1,12,0.9608,0.9130056546324489,0.9571363429092568,0.9345503116651827,0.9285684851537284,0.5364486397480077,94,95,3,3.0,135.78342856373638
