seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,runtime
1,saddle_3d_fuzziness_000,3,ridge_cart,0,0.6001,0.0,,,0.0,0.0,0,1,0.00024584773927927017
1,saddle_3d_fuzziness_000,3,ridge_cart,1,0.6001,0.0,,,0.4614903725931483,0.38117557461228,1,2,55.753374664112926
1,saddle_3d_fuzziness_000,3,ridge_cart,2,0.8161,0.8579644911227807,0.7296894938324118,0.7886449833352489,0.6512253063265816,0.45849596622060496,3,4,91.17108762497082
1,saddle_3d_fuzziness_000,3,ridge_cart,3,0.8319,0.7596899224806202,0.8084087280468334,0.7832925099909759,0.7432170542635661,0.4589206349028585,7,8,109.69498137291521
1,saddle_3d_fuzziness_000,3,ridge_cart,4,0.8555,0.8427106776694173,0.8050645007166747,0.8234575442883324,0.7869623655913978,0.49622033471452687,15,16,122.79812212102115
1,saddle_3d_fuzziness_000,3,ridge_cart,5,0.8881,0.9147286821705426,0.8246167718665465,0.8673384706579728,0.8337946555604419,0.5266542966106063,28,29,132.11658241599798
1,saddle_3d_fuzziness_000,3,ridge_cart,6,0.914,0.921730432608152,0.8707772265532719,0.8955296404275996,0.8811385538692367,0.5854737649977844,51,52,140.98743067588657
1,saddle_3d_fuzziness_000,3,ridge_cart,7,0.9313,0.9592398099524881,0.8798165137614679,0.9178131355425291,0.9009412847038922,0.5845312726683165,80,81,148.73201730195433
1,saddle_3d_fuzziness_000,3,ridge_cart,8,0.9491,0.9532383095773943,0.9221093372036768,0.9374154678470429,0.9062181511764498,0.5473323587925292,118,119,156.3874821444042
1,saddle_3d_fuzziness_000,3,ridge_cart,9,0.9637,0.9749937484371093,0.9368092263334935,0.9555201568435241,0.9075924044302215,0.5251414560045113,157,158,162.09663523500785
1,saddle_3d_fuzziness_000,3,ridge_cart,10,0.9706,0.9749937484371093,0.952602003420474,0.9636678200692042,0.9062741875945173,0.5068040660395849,188,189,166.23194425785914
1,saddle_3d_fuzziness_000,3,ridge_cart,11,0.9757,0.9734933733433359,0.9660049627791564,0.9697347116701955,0.9001295135104537,0.4912272312976167,211,212,167.43826625309885
1,saddle_3d_fuzziness_000,3,ridge_cart,12,0.9809,0.9819954988747187,0.9705882352941176,0.9762585456805469,0.8963799391406293,0.4841567207931876,230,231,170.2201868109405
